exp_id,number_of_variables_step1,number_of_variables_step2
1,510,367
2,291,669
3,414,551
4,501,429
5,349,169
6,534,492
7,406,252
10,333,244
11,336,669
12,404,205
13,403,343
14,248,290
15,401,394
16,529,635
17,338,356
18,332,571
19,384,473
20,264,434
22,351,356
23,292,287
24,306,446
25,523,224
26,386,727
27,433,365
28,371,362
29,224,361
30,591,316
31,283,353
32,518,406
33,268,522
34,381,147
35,208,153
36,614,485
37,457,527
38,254,496
39,324,636
40,287,383
